time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
5001327,1.220000,80889,38207,15150,335,3755,766,31343,76655,36912,14251,174,3808,645,29032,22626,10592,3523,29,706,90,2163,412191,234379,96953,2024,39032,4038,201918
5103513,1.200000,35330,16178,5735,63,1401,222,8517,77442,37493,14730,184,3818,632,29507,22442,10573,3521,28,702,89,2126,511141,298679,118443,3357,45351,4968,251408
5205544,1.200000,272359,97010,38721,1443,10707,2682,127019,79281,36977,14249,183,3810,647,30308,24262,10567,3522,28,705,92,3051,387925,220749,90681,1854,37599,3745,189752
5307580,1.196000,72088,30531,12180,290,3006,654,26673,80432,38441,15154,219,3910,656,31098,22495,10591,3525,28,706,93,2169,365839,214005,88395,1786,36042,3441,178773
5409651,1.196000,83224,39273,15535,373,3865,779,32329,94573,45037,17850,245,4798,835,38390,22689,10578,3522,29,702,91,2216,392067,223847,92376,1908,37640,3907,191798
5511678,1.200000,32820,14664,5315,63,1304,180,7146,80971,39145,15453,231,4098,694,31201,22522,10586,3523,28,706,89,2132,362813,212423,87617,1684,36154,3445,177226
5613699,1.196000,76712,35393,14118,320,3496,708,29151,74629,35490,13892,193,3595,625,28046,22510,10571,3524,28,706,92,2149,373388,219267,90242,1740,37096,3512,182555
5715733,1.196000,32762,15376,5360,60,1329,176,7205,75859,36906,14256,188,3807,649,28693,22413,10566,3523,28,706,90,2087,387926,224860,93052,1838,37223,3826,189788
5817758,1.184000,135914,59669,23607,584,6377,1568,58913,73662,35463,13899,175,3593,589,27597,22583,10579,3524,28,706,89,2193,357060,208485,85624,1732,35994,3334,174322
5919831,1.200000,33296,14577,5298,71,1295,206,7675,96757,47046,18409,244,4935,870,38923,22453,10543,3521,28,702,89,2140,393835,227227,94056,1865,37558,3894,192818
6021858,1.200000,32196,15377,5365,53,1327,183,6977,76271,36935,14262,178,3805,668,28861,22317,10578,3525,28,706,93,2065,360414,211670,87132,1732,36234,3388,176048
