time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
4798250,1.452000,32697,14654,5314,57,1293,171,7201,84647,39918,15616,362,3915,804,33091,22554,10629,3521,27,702,91,2157,413988,236836,97929,1876,39056,4134,202819
4900290,1.200000,31929,14664,5304,53,1295,164,6830,22811,10591,3523,48,710,92,2149,22355,10573,3523,27,706,90,2057,388081,222262,92229,1735,36868,3805,189861
5002451,1.224000,34377,15570,5700,61,1391,204,8022,66065,31156,11770,242,2988,587,23861,43867,20984,7347,104,2113,387,12758,389026,222649,91769,1870,37805,3830,190320
5104610,1.292000,2806507,1272104,509849,9038,151952,30427,1394256,44915,19049,6922,110,1661,304,13157,27357,10643,3521,27,705,90,4418,1517922,855179,346567,5789,106031,12588,754785
5206679,1.204000,120328,51850,21155,562,5303,1361,50718,116267,50190,19667,446,5167,1052,48860,22576,10599,3522,27,706,91,2203,394685,219045,90252,1862,36802,3897,193147
5308720,1.208000,69055,30080,11694,280,2884,651,25224,47074,22087,7978,174,2031,386,14187,22664,10565,3523,27,707,91,2225,396234,226753,93378,1886,38116,3943,193874
5410750,1.216000,74282,32230,12323,251,3152,740,27993,67828,32207,12379,278,3337,609,24689,22690,10622,3523,27,706,92,2235,391433,222366,91935,1923,36770,3822,191504
5512779,1.216000,32344,15345,5358,53,1321,181,7128,46443,22241,8052,166,2033,369,13893,48771,23988,8963,107,2241,438,15286,387858,222411,91722,1816,37197,3780,189707
5614805,1.204000,32167,15342,5358,53,1321,177,7044,68264,32571,12771,281,3103,574,24885,22568,10588,3522,27,706,94,2151,390102,222512,91893,1801,37047,3862,190899
5716843,1.216000,32634,14866,5402,60,1320,179,7145,56798,26563,9747,179,2599,512,19041,22482,9874,3468,27,683,87,2042,388685,222244,91744,1815,36936,3812,190155
